Features;Accuracy
[1];68.2
[2];69.1
[3];68.4
[4];68.30000000000001
[5];67.60000000000001
[6];70.39999999999999
[7];67.10000000000001
[8];66.5
[9];67.4
[10];68.89999999999999
[11];66.9
[12];67.4
[13];67.5
[14];68.0
[15];69.19999999999999
[16];65.3
[17];66.5
[18];69.69999999999999
[19];67.2
[20];69.8
[21];69.0
[22];68.89999999999999
[23];68.5
[24];65.9
[25];66.8
[26];67.30000000000001
[27];67.7
[28];69.0
[29];67.10000000000001
[30];68.2
[31];68.89999999999999
[32];67.2
[33];84.3
[34];69.5
[35];73.1
[36];68.10000000000001
[37];68.30000000000001
[38];67.5
[39];68.30000000000001
[40];66.4
[33, 1];82.39999999999999
[33, 2];83.8
[33, 3];84.5
[33, 4];86.3
[33, 5];82.3
[33, 6];86.1
[33, 7];83.8
[33, 8];83.1
[33, 9];84.2
[33, 10];84.6
[33, 11];82.39999999999999
[33, 12];83.2
[33, 13];82.1
[33, 14];83.3
[33, 15];85.0
[33, 16];84.0
[33, 17];83.1
[33, 18];82.3
[33, 19];84.1
[33, 20];83.2
[33, 21];83.8
[33, 22];83.3
[33, 23];83.8
[33, 24];85.8
[33, 25];84.0
[33, 26];83.39999999999999
[33, 27];84.89999999999999
[33, 28];85.1
[33, 29];84.2
[33, 30];83.8
[33, 31];83.0
[33, 32];84.39999999999999
[33, 34];82.8
[33, 35];97.2
[33, 36];83.3
[33, 37];83.39999999999999
[33, 38];83.0
[33, 39];83.0
[33, 40];84.89999999999999
[33, 35, 1];94.39999999999999
[33, 35, 2];92.7
[33, 35, 3];93.10000000000001
[33, 35, 4];94.69999999999999
[33, 35, 5];93.89999999999999
[33, 35, 6];93.7
[33, 35, 7];94.0
[33, 35, 8];92.7
[33, 35, 9];93.7
[33, 35, 10];94.19999999999999
[33, 35, 11];93.2
[33, 35, 12];93.30000000000001
[33, 35, 13];92.30000000000001
[33, 35, 14];94.1
[33, 35, 15];93.10000000000001
[33, 35, 16];92.9
[33, 35, 17];94.1
[33, 35, 18];94.0
[33, 35, 19];94.19999999999999
[33, 35, 20];93.10000000000001
[33, 35, 21];93.4
[33, 35, 22];93.4
[33, 35, 23];93.30000000000001
[33, 35, 24];94.19999999999999
[33, 35, 25];93.4
[33, 35, 26];93.60000000000001
[33, 35, 27];92.60000000000001
[33, 35, 28];92.9
[33, 35, 29];92.60000000000001
[33, 35, 30];94.69999999999999
[33, 35, 31];92.10000000000001
[33, 35, 32];93.2
[33, 35, 34];93.60000000000001
[33, 35, 36];94.1
[33, 35, 37];93.4
[33, 35, 38];94.0
[33, 35, 39];94.19999999999999
[33, 35, 40];93.89999999999999
[33, 35, 4, 1];91.3
[33, 35, 4, 2];91.0
[33, 35, 4, 3];90.2
[33, 35, 4, 5];90.60000000000001
[33, 35, 4, 6];91.10000000000001
[33, 35, 4, 7];90.2
[33, 35, 4, 8];89.4
[33, 35, 4, 9];89.9
