Features;Accuracy
[2, 3, 4, 5, 6, 7, 8, 9, 10];75.33333333333333
[1, 3, 4, 5, 6, 7, 8, 9, 10];73.66666666666667
[1, 2, 4, 5, 6, 7, 8, 9, 10];66.33333333333333
[1, 2, 3, 5, 6, 7, 8, 9, 10];73.0
[1, 2, 3, 4, 6, 7, 8, 9, 10];77.0
[1, 2, 3, 4, 5, 7, 8, 9, 10];72.66666666666667
[1, 2, 3, 4, 5, 6, 8, 9, 10];71.66666666666667
[1, 2, 3, 4, 5, 6, 7, 9, 10];74.0
[1, 2, 3, 4, 5, 6, 7, 8, 10];74.33333333333333
[1, 2, 3, 4, 5, 6, 7, 8, 9];72.66666666666667
[2, 3, 4, 6, 7, 8, 9, 10];78.0
[1, 3, 4, 6, 7, 8, 9, 10];77.66666666666666
[1, 2, 4, 6, 7, 8, 9, 10];70.33333333333334
[1, 2, 3, 6, 7, 8, 9, 10];77.33333333333333
[1, 2, 3, 4, 7, 8, 9, 10];78.66666666666666
[1, 2, 3, 4, 6, 8, 9, 10];76.33333333333333
[1, 2, 3, 4, 6, 7, 9, 10];77.0
[1, 2, 3, 4, 6, 7, 8, 10];75.33333333333333
[1, 2, 3, 4, 6, 7, 8, 9];74.33333333333333
[2, 3, 4, 7, 8, 9, 10];79.33333333333333
[1, 3, 4, 7, 8, 9, 10];77.66666666666666
[1, 2, 4, 7, 8, 9, 10];71.0
[1, 2, 3, 7, 8, 9, 10];78.66666666666666
[1, 2, 3, 4, 8, 9, 10];74.33333333333333
[1, 2, 3, 4, 7, 9, 10];78.0
[1, 2, 3, 4, 7, 8, 10];74.33333333333333
[1, 2, 3, 4, 7, 8, 9];73.33333333333333
[3, 4, 7, 8, 9, 10];79.0
[2, 4, 7, 8, 9, 10];69.0
[2, 3, 7, 8, 9, 10];79.0
[2, 3, 4, 8, 9, 10];77.0
[2, 3, 4, 7, 9, 10];80.66666666666666
[2, 3, 4, 7, 8, 10];80.66666666666666
[2, 3, 4, 7, 8, 9];74.0
[3, 4, 7, 9, 10];80.66666666666666
[2, 4, 7, 9, 10];70.33333333333334
[2, 3, 7, 9, 10];86.66666666666667
[2, 3, 4, 9, 10];80.33333333333333
[2, 3, 4, 7, 10];85.33333333333334
[2, 3, 4, 7, 9];72.33333333333334
[3, 7, 9, 10];85.0
[2, 7, 9, 10];70.33333333333334
[2, 3, 9, 10];84.0
[2, 3, 7, 10];87.0
[2, 3, 7, 9];77.0
[3, 7, 10];91.33333333333333
[2, 7, 10];71.66666666666667
[2, 3, 10];89.66666666666666
[2, 3, 7];83.66666666666667
[7, 10];72.66666666666667
[3, 10];95.0
[3, 7];81.66666666666667
[10];68.0
[3];84.66666666666667
[];78.66666666666666
