Features;Accuracy
[1];64.0
[2];76.0
[3];84.66666666666667
[4];59.0
[5];67.33333333333333
[6];65.66666666666666
[7];67.66666666666666
[8];64.66666666666666
[9];68.0
[10];68.0
[3, 1];80.33333333333333
[3, 2];85.0
[3, 4];81.33333333333333
[3, 5];85.0
[3, 6];84.0
[3, 7];81.66666666666667
[3, 8];86.33333333333333
[3, 9];83.66666666666667
[3, 10];95.0
[3, 10, 1];89.66666666666666
[3, 10, 2];89.66666666666666
[3, 10, 4];90.33333333333333
[3, 10, 5];91.0
[3, 10, 6];87.66666666666667
[3, 10, 7];91.33333333333333
[3, 10, 8];91.0
[3, 10, 9];89.33333333333333
[3, 10, 7, 1];85.33333333333334
[3, 10, 7, 2];87.0
[3, 10, 7, 4];86.66666666666667
[3, 10, 7, 5];88.33333333333333
[3, 10, 7, 6];82.33333333333334
[3, 10, 7, 8];86.33333333333333
[3, 10, 7, 9];85.0
[3, 10, 7, 5, 1];81.33333333333333
[3, 10, 7, 5, 2];85.0
[3, 10, 7, 5, 4];84.66666666666667
[3, 10, 7, 5, 6];81.66666666666667
[3, 10, 7, 5, 8];85.0
[3, 10, 7, 5, 9];84.0
[3, 10, 7, 5, 2, 1];81.0
[3, 10, 7, 5, 2, 4];79.33333333333333
[3, 10, 7, 5, 2, 6];77.0
[3, 10, 7, 5, 2, 8];80.66666666666666
[3, 10, 7, 5, 2, 9];83.66666666666667
[3, 10, 7, 5, 2, 9, 1];77.0
[3, 10, 7, 5, 2, 9, 4];79.0
[3, 10, 7, 5, 2, 9, 6];78.0
[3, 10, 7, 5, 2, 9, 8];74.33333333333333
[3, 10, 7, 5, 2, 9, 4, 1];73.66666666666667
[3, 10, 7, 5, 2, 9, 4, 6];75.33333333333333
[3, 10, 7, 5, 2, 9, 4, 8];74.33333333333333
[3, 10, 7, 5, 2, 9, 4, 6, 1];74.0
[3, 10, 7, 5, 2, 9, 4, 6, 8];75.33333333333333
[3, 10, 7, 5, 2, 9, 4, 6, 8, 1];75.33333333333333
